iter	Passed	Remaining
0	106	106354
1	107	53541
2	107	35866
3	108	27030
4	109	21745
5	109	18222
6	110	15683
7	111	13777
8	111	12294
9	112	11118
10	112	10152
11	113	9349
12	114	8666
13	114	8091
14	115	7585
15	116	7136
16	116	6741
17	117	6391
18	117	6076
19	118	5804
20	119	5574
21	120	5344
22	120	5132
23	121	4935
24	121	4754
25	122	4588
26	123	4433
27	123	4293
28	124	4160
29	124	4035
30	125	3918
31	125	3809
32	126	3706
33	127	3609
34	127	3517
35	128	3431
36	128	3350
37	129	3274
38	129	3203
39	130	3133
40	131	3065
41	131	3002
42	132	2941
43	132	2884
44	133	2828
45	133	2775
46	134	2726
47	135	2681
48	135	2638
49	136	2595
50	137	2551
51	137	2510
52	138	2471
53	139	2435
54	139	2400
55	140	2365
56	140	2330
57	141	2297
58	142	2265
59	142	2234
60	143	2204
61	143	2174
62	144	2147
63	144	2119
64	145	2092
65	146	2066
66	146	2041
67	147	2015
68	147	1992
69	148	1969
70	148	1947
71	149	1925
72	150	1906
73	150	1885
74	151	1864
75	151	1845
76	152	1825
77	152	1807
78	153	1788
79	154	1771
80	154	1753
81	155	1737
82	155	1718
83	156	1703
84	156	1687
85	157	1673
86	158	1658
87	158	1644
88	159	1630
89	159	1615
90	160	1602
91	161	1589
92	161	1576
93	162	1563
94	162	1550
95	163	1537
96	163	1525
97	164	1513
98	164	1501
99	165	1489
100	166	1478
101	166	1467
102	167	1456
103	167	1446
104	168	1435
105	168	1424
106	169	1414
107	170	1405
108	170	1395
109	171	1386
110	172	1377
111	172	1367
112	173	1359
113	173	1350
114	174	1341
115	174	1332
116	175	1323
117	175	1314
118	176	1306
119	177	1298
120	177	1290
121	178	1281
122	178	1273
123	179	1266
124	179	1258
125	180	1251
126	180	1243
127	181	1235
128	182	1228
129	182	1222
130	183	1216
131	183	1209
132	184	1202
133	185	1195
134	185	1189
135	186	1182
136	186	1176
137	187	1170
138	188	1164
139	188	1158
140	189	1153
141	189	1146
142	190	1140
143	190	1134
144	191	1129
145	192	1123
146	192	1117
147	193	1112
148	194	1108
149	194	1103
150	195	1098
151	195	1092
152	196	1087
153	196	1081
154	197	1075
155	197	1071
156	198	1066
157	199	1061
158	199	1056
159	200	1051
160	200	1045
161	201	1040
162	201	1036
163	202	1031
164	203	1027
165	203	1022
166	204	1019
167	204	1014
168	205	1010
169	206	1006
170	206	1001
171	207	997
172	207	993
173	208	989
174	208	985
175	209	981
176	210	977
177	210	973
178	211	969
179	211	965
180	212	961
181	213	957
182	213	953
183	214	949
184	214	946
185	215	942
186	215	939
187	216	935
188	216	931
189	217	927
190	218	923
191	218	919
192	219	916
193	219	913
194	220	909
195	220	906
196	221	902
197	221	899
198	222	895
199	223	892
200	223	888
201	224	885
202	224	881
203	225	878
204	225	875
205	226	872
206	226	869
207	227	865
208	227	862
209	228	859
210	229	856
211	229	853
212	230	850
213	230	847
214	231	844
215	231	842
216	232	839
217	233	836
218	233	833
219	234	830
220	234	827
221	235	824
222	235	822
223	236	819
224	237	817
225	237	815
226	238	812
227	239	809
228	239	806
229	240	804
230	240	801
231	241	799
232	242	797
233	242	795
234	243	792
235	244	790
236	244	787
237	245	785
238	245	782
239	246	780
240	247	778
241	247	776
242	248	773
243	248	771
244	249	768
245	250	766
246	250	763
247	251	761
248	251	759
249	252	757
250	253	755
251	253	752
